Area,ForecastTime,Time,AirTemperature (C),CloudFraction,RelativeHumidity ,WindDirection (degrees),WindSpeed (m/s),NextHourSummary,Precipitation (mm)
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-17T15:00:00Z,5.9,0.0,42.1,21.0,0.7,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-17T16:00:00Z,7.2,0.0,47.4,48.9,1.1,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-17T17:00:00Z,10.6,0.0,40.5,214.5,1.4,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-17T18:00:00Z,13.0,0.0,43.5,231.5,1.5,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-17T19:00:00Z,14.9,0.0,43.1,267.0,2.4,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-17T20:00:00Z,16.5,0.0,40.0,302.2,3.0,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-17T21:00:00Z,17.4,0.0,35.6,312.8,3.6,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-17T22:00:00Z,17.4,0.0,35.0,315.0,4.1,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-17T23:00:00Z,16.5,0.0,37.7,314.4,4.9,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T00:00:00Z,14.6,0.0,49.7,314.0,4.9,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T01:00:00Z,11.6,0.0,72.8,321.8,4.0,clearsky_night,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T02:00:00Z,9.1,0.0,91.8,330.1,4.3,clearsky_night,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T03:00:00Z,7.8,7.8,98.7,328.5,4.7,clearsky_night,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T04:00:00Z,6.9,80.5,99.7,328.6,4.5,fog,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T05:00:00Z,6.6,96.1,99.8,331.3,4.2,fog,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T06:00:00Z,6.8,99.2,100.0,332.3,4.5,fog,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T07:00:00Z,7.0,99.2,99.6,336.0,4.3,fog,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T08:00:00Z,7.0,97.7,99.5,342.7,3.8,fog,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T09:00:00Z,6.7,97.7,99.1,349.9,3.3,fog,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T10:00:00Z,6.2,97.7,98.7,357.1,2.7,fog,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T11:00:00Z,6.0,96.9,97.2,359.6,2.6,fog,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T12:00:00Z,6.1,89.8,94.6,12.3,2.6,fog,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T13:00:00Z,5.5,72.7,93.7,26.9,2.5,fog,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T14:00:00Z,5.2,57.8,90.0,39.1,2.5,partlycloudy_night,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T15:00:00Z,4.7,46.9,85.0,44.8,2.4,partlycloudy_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T16:00:00Z,5.8,32.0,78.1,54.9,2.1,fair_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T17:00:00Z,7.5,19.5,79.1,103.2,1.3,fair_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T18:00:00Z,10.8,1.6,64.6,189.5,1.4,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T19:00:00Z,13.3,0.8,59.5,197.8,2.0,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T20:00:00Z,14.9,0.8,58.3,206.1,2.2,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T21:00:00Z,15.9,0.0,56.3,217.2,2.3,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T22:00:00Z,16.3,0.0,55.8,243.4,2.2,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-18T23:00:00Z,16.0,0.0,56.3,272.0,3.0,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-19T00:00:00Z,15.1,0.0,56.6,297.6,3.5,clearsky_day,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-19T01:00:00Z,12.3,0.0,65.9,314.2,2.9,clearsky_night,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-19T02:00:00Z,9.4,0.0,80.0,334.1,2.4,clearsky_night,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-19T03:00:00Z,7.6,0.0,90.3,342.5,2.8,clearsky_night,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-19T04:00:00Z,6.7,0.0,95.1,352.1,2.8,clearsky_night,0.0
"Solvang, CA",2025-01-17T13:18:59Z,2025-01-19T05:00:00Z,6.4,11.7,96.5,11.7,2.6,clearsky_night,0.0
